GeneName	H_PBS_1	H_PBS_2	H_PBS_3	H_Mono_1	H_Mono_2	H_Mono_3	H_PFF_1	H_PFF_2	H_PFF_3	S_PBS_1	S_PBS_2	S_PBS_3	S_Mono_1	S_Mono_2	S_Mono_3	S_PFF_1	S_PFF_2	S_PFF_3
FKBP4	3254	2120	2633	2377	2191	2850	3365	2588	1748	1572	1958	1919	2737	1838	1934	2451	1152	1505
KDM1A	1976	1325	1673	1506	1417	1711	1707	1642	1025	1991	2441	2612	3406	2204	2646	3283	1509	1965
RBM6	1989	1347	1494	1648	1398	1649	1803	1532	910	2404	2881	3182	3968	2134	2827	3722	1674	2186
CAMKK1	422	283	301	369	288	291	362	352	207	176	216	221	252	185	164	265	109	187
RECQL	1904	1287	1513	1435	1297	1678	1540	1742	999	542	655	689	966	606	708	916	378	470
VPS50	555	405	441	409	392	476	428	488	286	774	970	889	1144	741	850	1059	497	638
HSPB6	1	1	1	5	4	2	2	1	2	5	4	7	7	8	4	13	4	5
ARHGAP33	403	284	331	225	222	275	268	286	195	517	527	568	759	379	530	734	314	441
NDUFAB1	695	425	512	509	443	572	849	575	341	540	618	679	878	564	697	857	375	484
PDK4	1	0	0	0	2	0	2	0	0	77	57	67	54	40	46	76	31	40
SLC22A16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ZMYND10	21	12	10	17	6	13	17	14	8	50	63	49	80	43	51	86	33	41
ABCB5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARX	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
SLC25A13	552	371	466	479	404	468	458	504	299	993	1200	1205	1594	1030	1212	1596	704	910
ST7	491	340	371	391	354	439	410	412	253	266	278	324	396	243	327	436	178	231
CDC27	2960	1953	2308	2048	1789	2375	1913	2407	1534	1522	1869	1854	2353	1479	1884	2261	1018	1328
SLC4A1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	3	0	1
CALCR	0	0	0	0	0	1	0	0	0	2	3	2	1	2	2	2	1	0
HCCS	712	489	619	514	475	594	683	546	364	289	357	358	472	339	382	507	222	256
DVL2	1711	1255	1469	1468	1235	1434	1419	1404	944	1087	1187	1309	1554	1010	1179	1553	708	980
PRSS22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPF1	2127	1450	1720	1703	1451	1705	1410	1625	1196	1639	1628	1888	2398	1646	1693	2279	1120	1473
SKAP2	24	11	17	21	16	27	13	22	10	57	62	60	67	46	53	63	25	48
SLC25A5	6192	3994	5088	4542	4009	5091	6929	5499	3249	1553	1815	1758	2614	1907	1997	2378	1141	1495
MCUB	206	119	167	133	144	181	209	202	107	29	25	27	57	38	37	68	28	32
HOXA11	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
POLR2J	490	303	368	367	347	405	720	433	285	538	672	646	784	587	554	751	307	404
DHX33	1525	1027	1160	1232	1124	1298	897	1201	801	874	1042	1042	1389	887	1077	1449	591	849
MEOX1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
THSD7A	0	0	0	0	0	0	0	0	0	370	460	484	624	309	411	507	242	277
LIG3	902	628	718	743	669	824	611	762	480	656	795	722	1031	595	771	977	473	609
RPAP3	898	638	741	678	594	757	796	810	482	501	567	601	708	504	597	774	344	447
ACSM3	6	6	8	7	2	5	13	10	3	2	8	5	1	4	6	6	1	6
REXO5	193	117	152	130	109	148	179	130	82	149	177	154	205	147	170	213	106	133
CIAPIN1	696	447	517	508	436	543	704	610	381	633	783	776	953	666	716	906	425	551
SPPL2B	1040	755	812	850	671	767	876	771	561	732	893	850	1144	630	841	1201	527	711
ATOSB	493	330	373	389	352	357	476	437	262	432	463	488	541	372	412	590	310	329
COPZ2	268	191	234	197	192	225	330	214	148	62	65	67	68	42	64	99	45	48
PRKAR2B	50	35	25	21	29	35	23	42	22	604	695	646	865	570	683	774	398	543
MSL3	653	440	509	452	464	526	466	554	336	561	702	712	855	517	610	851	354	527
CREBBP	2590	1758	2019	1849	1725	1988	1012	2035	1449	2485	2690	2829	3233	2177	2288	3176	1666	2102
TSPOAP1	118	102	82	103	86	110	93	88	77	714	844	973	1037	632	769	1168	469	694
MPO	0	0	1	0	2	0	0	2	0	0	0	1	1	2	2	3	0	2
PON1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCFC2	264	153	220	194	144	234	199	216	114	262	335	307	378	222	296	427	169	236
WDR54	973	618	754	694	609	733	1114	741	471	242	284	307	402	267	305	355	174	192
CROT	197	159	181	132	102	158	159	170	90	350	416	425	512	306	353	513	238	285
ABCB4	11	3	12	14	8	5	3	6	5	54	71	63	111	74	76	88	39	43
KMT2E	1234	795	994	883	797	1015	545	1018	614	2057	2656	2433	2950	1814	2206	2854	1307	1663
RHBDD2	606	384	440	488	456	503	640	480	345	1809	1885	2065	2255	1741	1699	2159	1069	1507
SOX8	1	1	3	6	3	6	9	2	1	0	0	0	0	0	2	0	0	0
IBTK	30	15	19	12	38	31	30	50	46	74	114	47	39	96	100	106	37	101
ZNF195	658	406	534	476	385	493	479	537	282	1495	1812	1760	2268	1344	1652	2282	1012	1217
MYCBP2	474	331	388	376	330	390	281	408	242	872	1165	1004	1338	774	1003	1289	580	790
FBXL3	485	325	310	334	303	437	292	455	247	381	530	459	553	409	479	594	269	324
ITGAL	1	1	0	0	5	4	1	0	0	1	1	3	2	3	2	5	1	1
PDK2	622	406	508	423	380	496	560	580	371	392	516	473	541	395	415	524	264	353
ITGA3	11515	7635	8622	9499	8026	8530	8565	8455	5294	413	463	528	848	507	595	837	307	497
ZFX	1114	720	887	823	707	910	616	931	547	780	992	870	1203	748	981	1113	551	654
LAMP2	2341	1501	1857	1886	1618	1847	1601	1825	1150	958	1206	1046	1452	955	1128	1479	613	762
ITGA2B	304	196	212	222	169	190	232	222	126	77	88	93	140	57	87	133	56	57
ASB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDE1	1052	705	838	722	645	801	937	903	569	803	1060	966	1301	917	972	1278	575	661
REX1BD	218	125	137	144	142	166	229	170	93	429	530	549	785	431	620	732	325	410
CRLF1	4	1	1	5	4	0	3	6	4	63	64	80	112	69	61	77	41	52
OSBPL7	503	323	375	362	345	392	455	342	222	671	777	874	1001	586	681	1046	457	577
TMEM98	431	273	373	315	254	329	472	369	219	1064	1239	1195	1542	1054	1180	1402	637	864
YBX2	1	2	3	1	2	2	1	3	1	4	7	26	11	5	47	35	4	10
KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K14	1058	758	812	849	786	809	861	813	501	159	202	196	222	160	191	255	120	136
ABCC8	1	0	2	1	0	3	2	0	0	67	98	115	134	78	94	171	59	83
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132A	511	318	388	463	544	467	535	465	314	2378	2563	2922	4439	2678	2987	4158	1912	2595
AP2B1	6027	4226	4714	4981	4399	5659	4268	5548	3361	6637	7712	7963	9534	5878	7257	9073	4221	5584
TAC1	0	0	0	0	0	0	0	0	0	1	1	3	2	0	2	0	1	1
ZNF263	266	154	225	203	178	223	244	207	124	286	367	366	424	252	336	517	216	297
CX3CL1	15	5	14	12	12	15	23	13	5	208	214	231	353	259	281	353	152	237
SPATA20	1517	1063	1297	1247	1094	1244	1521	1238	795	1133	1280	1337	1644	1027	1119	1678	739	979
CACNA1G	1	2	3	6	2	7	6	10	0	190	207	202	232	146	167	235	124	142
TNFRSF12A	3800	2627	3060	3423	2946	3366	3889	3139	1960	448	468	521	1212	808	853	1087	471	598
DLX6	0	0	0	0	0	0	0	0	0	153	175	150	205	132	160	198	100	112
MAP3K9	547	412	460	458	376	489	339	475	276	857	1025	1006	1170	715	846	1143	617	774
RALA	633	443	550	569	440	639	669	593	388	1484	1836	1760	2196	1576	1775	2149	962	1230
BAIAP2L1	1661	1149	1322	1219	1085	1415	1531	1333	843	102	100	109	185	133	155	185	71	122
KDM7A	90	55	47	55	55	89	36	60	37	767	984	952	1045	657	888	1052	510	634
ETV1	60	42	57	43	54	46	31	56	23	192	215	201	342	208	281	315	141	183
AGK	237	181	256	212	197	260	206	286	182	151	202	171	292	152	187	261	123	152
ALDH3B1	315	208	243	240	223	271	296	270	149	9	6	4	4	3	7	4	5	6
TTC22	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
PHTF2	1936	1263	1532	1505	1192	1516	1156	1562	880	951	1059	1082	1317	727	975	1278	572	680
CCL26	22	14	19	23	26	29	46	26	14	1	1	0	1	0	0	0	0	0
FARP2	1115	726	897	808	719	920	585	927	565	689	865	833	1100	568	719	927	475	613
USH1C	2	2	2	1	1	1	0	1	2	2	2	7	4	1	4	11	6	3
GGCT	213	114	129	129	130	162	259	172	97	305	309	335	445	347	366	444	182	238
DBF4	776	457	651	569	476	660	626	650	399	295	369	339	519	298	427	488	227	259
TBXA2R	78	64	75	76	61	80	75	58	41	72	47	71	67	53	46	81	38	49
IFRD1	161	117	134	145	101	149	180	165	96	254	273	293	361	229	285	346	188	199
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX10	347	227	288	302	265	281	292	329	206	191	237	240	297	223	250	287	141	183
GTF2IRD1	866	597	643	699	574	699	713	672	484	1194	1333	1357	1654	1096	1137	1673	709	984
PAF1	1055	753	842	842	756	918	1235	936	593	801	876	928	1228	850	862	1219	504	692
VPS41	728	477	615	526	465	625	478	649	393	2035	2417	2338	2640	1671	2097	2759	1273	1628
ARHGAP44	126	83	90	76	87	87	74	79	62	2	12	6	17	7	10	6	5	3
ELAC2	2366	1565	1894	1894	1722	1938	2154	2003	1250	717	844	863	1236	757	948	1127	515	684
SCIN	9	9	5	7	5	11	8	3	5	1	0	0	1	2	1	1	1	0
ARSD	273	205	274	247	216	254	222	241	149	423	490	515	552	374	417	568	250	357
PNPLA4	114	107	110	102	81	107	149	123	77	15	14	13	21	15	21	28	7	16
MYH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ADIPOR2	319	174	120	173	204	241	80	87	139	83	56	57	108	98	51	57	53	47
CDKL3	36	9	9	18	10	16	13	20	11	48	53	41	58	29	39	50	21	29
UPP2	0	0	0	0	0	0	0	0	1	6	10	7	6	3	1	7	5	5
PRSS21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARK4	525	346	363	335	331	408	388	375	270	1000	1018	1181	1357	870	1020	1296	686	828
PROM1	2	0	4	2	0	2	2	1	1	78	72	108	133	74	97	170	54	75
CCDC124	785	600	704	647	537	700	1078	641	407	562	558	678	896	615	659	757	407	503
CEACAM21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B1	4021	2728	3348	2764	2538	3156	2951	3336	2009	3631	4401	4423	5400	3323	4181	5161	2286	3074
NOS2	4	1	1	2	2	1	2	1	2	27	31	24	42	26	29	42	13	24
DNAH9	0	0	1	0	0	0	0	0	0	70	78	63	74	74	68	78	50	44
BLTP2	8000	5309	6246	6274	5576	6659	4483	6187	3863	3196	3534	3871	4881	3088	3707	4746	2072	2846
SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAS7	443	367	359	351	332	367	304	456	288	115	123	158	172	111	121	172	86	124
TRAPPC6A	40	25	39	37	42	42	65	40	24	81	99	88	112	71	78	99	54	80
MATK	4	2	10	2	5	7	10	4	1	3	6	1	2	5	7	3	2	2
CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD79B	4	1	7	3	5	5	11	4	1	0	0	0	0	0	0	0	0	0
SCN4A	4	1	4	4	2	4	5	3	2	1	3	1	0	2	1	5	1	1
ST7L	292	190	243	255	255	292	270	255	163	277	286	311	412	299	334	433	190	245
TKTL1	0	0	0	0	0	2	0	0	0	3	5	4	5	1	2	1	1	1
PAX6	492	310	379	354	290	384	326	418	219	0	0	0	0	0	0	0	0	0
RPUSD1	607	444	512	513	475	545	800	588	361	391	454	481	622	410	454	598	242	371
RHBDF1	608	392	500	450	401	452	466	442	281	360	362	394	496	268	312	465	221	323
LUC7L	907	614	697	675	635	657	852	670	424	1583	1819	1842	2366	1434	1731	2568	1157	1418
CACNA2D2	21	8	11	10	2	6	10	6	7	3358	3615	4712	5902	3250	4151	6773	2619	3517
BAIAP3	52	45	49	56	57	45	67	61	41	53	58	73	94	60	64	55	32	50
TSR3	754	478	595	639	492	636	1088	698	387	461	603	535	754	523	611	878	399	514
PIGQ	742	504	627	565	496	579	796	626	388	769	849	976	1303	743	847	1208	525	709
CRAMP1	432	280	319	304	325	321	298	318	197	384	446	466	572	335	440	605	260	384
TEAD3	1380	887	1071	1053	937	1080	1000	1173	730	240	272	305	350	250	260	391	169	243
SELE	0	0	0	0	0	0	0	0	0	93	92	91	3023	1966	2319	2220	1041	1397
DNAJC11	2075	1311	1603	1565	1494	1589	1671	1501	985	1134	1405	1454	1995	1191	1408	1920	878	1146
FMO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYLIP	148	72	119	101	80	70	70	94	68	198	211	195	213	162	157	203	116	160
NOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F2	0	0	0	0	0	0	1	0	1	1	0	0	0	7	0	0	1	0
PSMB1	1362	932	1163	1034	904	1104	1756	1134	667	1126	1510	1487	2014	1348	1461	1950	902	1108
SYN1	1	3	2	4	0	6	2	4	4	234	275	304	368	278	303	421	216	294
JARID2	686	494	571	524	477	524	389	499	340	614	658	685	827	532	612	809	384	505
CDKL5	390	243	321	298	270	332	219	314	190	863	1069	1012	1238	729	948	1162	580	703
CAMK1G	0	0	0	0	0	0	1	0	0	2	3	3	3	2	5	6	1	4
CDK11A	61	26	40	40	37	40	43	53	40	64	80	75	97	54	66	104	59	60
NADK	948	656	779	750	694	760	760	740	509	757	861	901	1152	712	853	1134	516	694
TFAP2B	4	6	9	13	5	6	7	12	8	1381	1590	1850	2183	1306	1558	2212	1005	1296
TFAP2D	0	0	0	0	0	0	1	0	0	2	0	0	1	0	2	2	0	4
DLEC1	0	4	0	2	0	0	0	1	0	10	1	11	4	11	3	12	1	4
CYTH3	1474	964	1127	1180	991	1129	971	1110	686	1672	1937	2022	2294	1471	1768	2442	1119	1450
ADAM22	117	57	93	92	67	77	70	101	54	2445	3107	2975	3323	1920	2636	3158	1495	1846
SYPL1	1350	860	1080	1062	915	1146	1072	1061	676	474	577	586	850	602	689	780	380	444
CYB561	181	112	176	106	126	116	128	148	95	2862	3142	3500	3926	2540	2839	4074	1848	2321
SPAG9	2853	1879	2351	2464	2070	2640	1684	2423	1470	3087	3830	3611	4266	2647	3430	4427	2012	2383
CELSR3	1016	673	717	832	659	740	511	720	501	4390	4927	5288	6216	3555	4541	6290	3003	3903
AASS	857	563	691	640	538	667	546	632	393	126	145	143	184	98	126	175	79	99
PLEKHG6	20	20	29	14	17	18	24	19	11	4	6	3	10	4	8	6	8	6
SS18L2	176	145	171	142	126	171	254	152	93	135	153	171	201	172	172	199	105	120
MPND	275	188	204	196	132	184	284	193	110	293	299	320	378	240	260	423	208	256
MGST1	335	226	228	274	243	278	360	285	166	86	106	79	276	207	193	227	82	130
CRY1	1200	854	995	959	865	1031	882	1014	606	383	455	504	617	427	440	549	292	337
PGLYRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIX	1039	748	908	829	754	859	698	882	632	1160	1115	1192	1513	958	1074	1437	729	972
ST3GAL1	193	108	154	186	172	152	145	151	98	348	326	340	783	452	555	653	295	364
MMP25	4	7	4	5	7	5	5	4	6	3	3	2	6	1	8	5	0	2
IL32	52	40	45	112	105	112	179	89	62	101	79	95	603	399	382	482	219	272
PKD1	2743	1804	2032	1997	1743	1897	1326	1965	1315	4306	4846	5321	6766	3879	4774	7124	3244	4356
MAPK8IP2	196	140	157	215	201	208	212	174	142	1556	1632	1869	2101	1358	1606	2089	1141	1481
MED24	1586	1027	1286	1214	1077	1154	1163	1250	814	1146	1287	1378	1736	1085	1160	1658	825	1049
RHOBTB2	549	393	474	446	387	473	475	482	309	610	609	754	774	581	574	786	399	534
HEATR5B	951	631	737	659	591	758	488	681	475	1008	1301	1225	1581	904	1202	1445	720	926
SEC62	3146	2078	2443	2210	1994	2463	2521	2562	1446	1608	1973	1886	2342	1514	1827	2243	1099	1262
RPS20	5923	4057	4719	4160	3477	4594	7873	4958	2808	4724	5895	6028	7032	5078	5289	7277	3395	4327
CSDE1	10982	7393	8878	7122	6351	8529	7700	9306	5379	5720	6731	6677	8900	5696	6789	8474	3802	5035
UBE3C	3372	2215	2772	2643	2391	2980	2293	2830	1782	1611	1968	2053	2751	1804	2133	2499	1181	1662
REV3L	354	248	271	245	196	317	173	309	185	984	1253	1284	1441	844	1155	1413	651	843
TENM1	0	1	1	0	0	0	0	0	0	238	330	314	401	193	301	377	195	220
PAX7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MASP2	1	0	1	0	1	0	2	2	0	4	3	9	10	5	8	10	3	3
IYD	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM76A	158	113	110	127	105	152	139	132	77	124	161	182	227	118	176	187	100	112
TRAF3IP3	0	1	0	0	0	1	0	0	0	13	22	20	19	11	18	33	11	7
POMT2	494	334	405	424	386	357	442	386	261	673	850	862	1102	725	840	1083	507	647
VTA1	839	573	687	572	576	703	687	756	420	782	954	967	1289	858	929	1209	547	618
MLXIPL	47	18	25	23	18	23	32	14	15	30	24	41	45	13	33	48	22	34
BAZ1B	3862	2571	3151	2914	2600	3288	2319	3339	2030	3535	4076	4275	5536	3430	4261	5263	2397	3173
RANBP9	1475	1007	1187	1121	981	1230	1162	1331	799	774	990	972	1186	782	859	1113	515	685
ETV7	23	6	17	23	45	33	32	27	12	5	5	7	9	9	6	12	1	6
SPRTN	273	206	211	161	177	245	191	265	149	255	327	324	395	254	295	407	173	220
METTL13	689	472	568	576	464	624	664	569	373	1004	1170	1239	1605	1114	1179	1539	721	952
DYRK4	79	50	73	60	71	75	93	74	29	110	123	118	130	103	116	151	51	87
ZNF207	3968	2591	3056	2961	2635	3103	2734	3320	1881	2013	2657	2488	3227	1958	2455	3194	1479	1700
UQCRC1	2744	1878	2220	2222	1878	2270	3591	2431	1422	961	1163	1095	1499	979	1100	1506	706	868
STARD3NL	477	318	363	360	325	472	420	384	235	896	1109	1004	1370	947	1059	1371	585	778
CD9	1532	1015	1180	1343	1075	1203	1442	1205	707	34	38	30	65	45	59	77	41	47
HHATL	5	0	3	1	2	1	2	0	2	1	1	3	3	3	0	4	1	1
NCAPD2	8698	6042	7267	5729	5548	6597	5484	7187	4705	1435	1540	1620	2529	1445	1784	2269	1031	1309
IFFO1	634	400	502	458	416	440	500	514	312	372	415	466	558	372	405	545	286	317
GIPR	21	27	36	24	21	24	24	26	17	106	120	158	185	71	131	217	68	109
PHF7	118	70	71	85	54	74	64	89	42	124	127	126	151	101	113	159	80	98
SEMA3G	28	24	16	9	18	14	15	22	18	2	2	0	7	2	7	11	4	4
NISCH	1850	1270	1410	1418	1210	1277	1181	1403	942	2812	2967	3262	4028	2493	2837	4069	1931	2438
STAB1	2	1	3	2	0	1	2	3	0	1	3	4	2	1	0	0	1	0
FUZ	145	106	104	102	93	110	155	111	68	465	512	513	638	441	458	666	345	419
SLC6A13	9	2	0	9	2	2	3	3	1	14	17	22	24	15	26	33	16	23
IDS	143	90	112	119	88	140	54	114	67	620	684	643	828	536	626	721	339	539
PRSS3	6	5	3	4	11	7	10	13	4	180	212	229	293	233	220	284	150	166
ZNF200	223	169	186	160	157	228	215	231	114	279	358	325	458	313	333	424	201	280
CD4	1	2	3	3	4	0	0	1	0	1	0	0	0	2	0	1	1	1
LRRC23	85	66	66	79	57	72	99	95	61	106	139	166	171	114	128	173	83	124
BTK	0	1	1	0	2	2	4	1	0	128	133	136	152	90	127	162	75	92
HFE	308	175	239	190	186	225	201	199	150	0	0	0	1	0	3	0	1	0
SCMH1	615	413	489	417	412	473	386	474	294	811	929	951	1124	812	860	1198	559	653
FYN	435	282	327	372	320	387	416	359	242	852	948	948	1188	803	854	1212	598	768
HIVEP2	162	124	129	125	135	138	72	158	92	872	996	946	1374	818	1158	1328	590	806
FMO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOA	1064	692	862	836	796	881	779	918	530	1356	1622	1584	1984	1352	1598	1972	822	1109
LYPLA2	541	359	458	364	385	418	598	469	297	1386	1610	1634	2144	1318	1516	1977	875	1196
CLCN6	1116	721	877	943	781	837	617	831	519	1193	1328	1508	1723	1079	1221	1696	809	1086
MRC2	1421	1020	1137	1189	998	1018	1074	1037	733	3472	3671	4022	5010	3287	3692	5208	2238	2982
NME1-NME2	2	0	2	0	0	2	2	0	1	0	1	0	0	1	1	2	1	0
SLC6A7	0	1	1	1	6	1	0	1	0	0	0	1	0	0	0	1	0	0
TSPAN9	568	405	409	362	355	380	499	422	287	489	532	583	736	464	524	636	319	411
BTBD7	26	42	40	24	32	25	20	31	24	11	27	34	31	25	14	23	8	17
APBA3	263	169	217	239	204	233	290	231	154	296	381	351	491	317	342	471	231	310
MKS1	467	288	374	339	321	356	364	383	198	297	367	413	514	273	319	536	238	265
ABHD5	280	187	201	213	218	278	246	258	120	241	265	285	332	231	302	313	177	189
ANOS1	75	44	38	41	48	45	31	51	29	4	3	3	6	7	4	2	5	4
AKAP8L	1029	682	794	827	720	857	1080	813	512	1488	1949	1996	2366	1504	1745	2475	1112	1472
MBTD1	535	332	358	382	301	429	312	395	242	1206	1594	1556	1739	1120	1493	1834	849	1005
UTP18	1031	742	844	875	799	1021	1120	968	530	589	730	711	1045	683	755	957	470	568
RNF216	887	641	803	756	734	847	726	769	519	1469	1555	1630	2058	1432	1507	2047	878	1165
TTC19	735	534	599	606	495	652	666	566	343	571	666	750	896	604	664	975	464	538
PTBP1	9728	6759	8045	7761	6796	7868	6795	7703	5422	3392	3806	4019	5475	3713	4033	5230	2524	3299
DPF1	212	137	169	136	129	130	188	163	104	218	206	252	332	189	235	322	191	194
SYT7	14	11	11	11	16	14	13	13	5	304	248	328	607	430	457	554	273	302
LARS2	569	336	432	426	410	475	416	483	289	457	517	596	671	455	485	661	314	383
PIK3C2A	2155	1478	1747	1571	1434	1798	989	1822	1100	1230	1628	1540	1987	1197	1512	1866	860	1044
PLAUR	802	511	564	735	663	674	862	616	401	98	88	81	233	136	138	200	90	98
ANLN	7386	5020	5989	5144	4619	5990	4192	6212	3618	597	608	569	1415	981	1135	1224	553	625
WIZ	982	658	741	781	665	755	691	775	540	1692	1830	2003	2329	1576	1764	2308	1206	1490
